filename,B_mean,B_std,B_hist_0,B_hist_1,B_hist_2,B_hist_3,B_hist_4,B_hist_5,B_hist_6,B_hist_7,G_mean,G_std,G_hist_0,G_hist_1,G_hist_2,G_hist_3,G_hist_4,G_hist_5,G_hist_6,G_hist_7,R_mean,R_std,R_hist_0,R_hist_1,R_hist_2,R_hist_3,R_hist_4,R_hist_5,R_hist_6,R_hist_7,H_mean,H_std,H_hist_0,H_hist_1,H_hist_2,H_hist_3,H_hist_4,H_hist_5,H_hist_6,H_hist_7,S_mean,S_std,S_hist_0,S_hist_1,S_hist_2,S_hist_3,S_hist_4,S_hist_5,S_hist_6,S_hist_7,V_mean,V_std,V_hist_0,V_hist_1,V_hist_2,V_hist_3,V_hist_4,V_hist_5,V_hist_6,V_hist_7,area,perimeter,aspect_ratio,extent,solidity,equivalent_diameter,eccentricity,bbox_area,hu1,hu2,hu3,hu4,hu5,hu6,hu7,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_ASM,lbp_hist_0,lbp_hist_1,lbp_hist_2,lbp_hist_3,lbp_hist_4,lbp_hist_5,lbp_hist_6,lbp_hist_7,lbp_hist_8,lbp_hist_9,img_width,img_height,mask_pixel_count,label
dataset\crowntail\ct1.png,236.0922088520498,61.4173904651247,0.0501888170838356,0.02012193202972412,0.004760457202792168,0.003696354804560542,0.0033843249548226595,0.004184401594102383,0.005744551308453083,0.90791916847229,237.51491343168945,57.60601195241483,0.034835346043109894,0.028570743277668953,0.007136685308068991,0.005032483022660017,0.004080391488969326,0.004304413218051195,0.005976573564112186,0.9100633859634399,237.5695186737927,57.67768951979012,0.03641149401664734,0.025514449924230576,0.007632732857018709,0.0055285305716097355,0.004152398556470871,0.0044404263608157635,0.005888565443456173,0.9104313850402832,4.800684865747112,17.68539870996543,0.9527954459190369,0.024650366976857185,0.00932889524847269,0.00997695792466402,0.002112202811986208,0.001136109116487205,0.0,0.0,10.732862354786059,40.76635811966686,0.9225205779075623,0.014001344330608845,0.014041348360478878,0.012865235097706318,0.01083303987979889,0.007784747518599033,0.005128492135554552,0.012825231067836285,237.9656447018914,56.307321346453456,0.027586648240685463,0.03348321467638016,0.008072774857282639,0.005568534601479769,0.004256408661603928,0.004520433954894543,0.0059365699999034405,0.9105753898620605,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.42816222538565685,186300.0,2.8896717508800545,7.771465593391382,12.533831132752843,12.41816478659093,24.92341645925608,-16.48833962684879,-25.34391207848529,78.8988421601529,2.8589656039406854,0.7280882510096149,0.590794462559917,0.944756746124429,0.34905516468053,0.004848465452683457,0.00762473197426953,0.002712260376996192,0.027802669056229398,0.026058501616155152,0.04929273210228182,0.004720453163503696,0.025082407911159472,0.8345681185393797,0.017289659807341505,460,405,124988,crowntail
dataset\crowntail\ct10.png,231.70313184485124,63.233939348354504,0.046119485050439835,0.016244515776634216,0.015863897278904915,0.014355785213410854,0.01164836622774601,0.009149209596216679,0.010872765444219112,0.875745952129364,235.64032977371147,55.66905807592074,0.028891107067465782,0.01948336325585842,0.009134846739470959,0.010671684518456459,0.02219078317284584,0.018865756690502167,0.009379017166793346,0.8813834190368652,240.08632142882792,43.007844087710104,0.004258619621396065,0.009881720878183842,0.019397186115384102,0.01806861162185669,0.017070386558771133,0.027677437290549278,0.01852104626595974,0.8851249814033508,12.331296185914239,29.95540798712441,0.8892256021499634,0.04095599800348282,0.0359361432492733,0.013817173428833485,0.011791995726525784,0.008273068815469742,0.0,0.0,18.369975654771736,54.45332051879758,0.8885362148284912,0.01969880796968937,0.014039799571037292,0.011382650583982468,0.010693228803575039,0.01327138114720583,0.01109539158642292,0.031282540410757065,240.53334003605104,42.72834973979821,0.004208349157124758,0.009759635664522648,0.019095564261078835,0.017214015126228333,0.016632314771413803,0.02855357713997364,0.01904529333114624,0.8854912519454956,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.4642811644363363,186300.0,2.969831954904438,7.775545009898583,11.991860268352314,12.272695676052344,24.491349755237632,16.18865424609124,-24.64691232932436,75.05792342814074,3.133366529659689,0.6832304527978484,0.5744399599299969,0.9149176977716138,0.3300038491694422,0.020431319884809007,0.027016740037487344,0.009242568960193038,0.026449402859666637,0.05310706873397632,0.0538467615101223,0.014714859207020618,0.030930648416123866,0.7163529555394371,0.04790767485116376,460,405,139247,crowntail
dataset\crowntail\ct2 .png,243.50714381733337,41.98430654761445,0.01544946525245905,0.007307049818336964,0.006289247889071703,0.008430472575128078,0.013183415867388248,0.01376913208514452,0.01529583428055048,0.9202753901481628,244.14297236571736,40.7827806803538,0.013884354382753372,0.0075951069593429565,0.006500489544123411,0.007652718108147383,0.01265531126409769,0.013989975675940514,0.013836344704031944,0.923885703086853,243.37457991665548,42.746096185563,0.016121597960591316,0.007191827055066824,0.006730935536324978,0.009909166023135185,0.013308240100741386,0.012972173281013966,0.012415262870490551,0.9213507771492004,10.293799089739405,28.292443071385588,0.8822422623634338,0.05062124505639076,0.039194975048303604,0.015286232344806194,0.008200027048587799,0.004455283749848604,0.0,0.0,3.8309584621588924,21.50821286640898,0.968640148639679,0.01685134321451187,0.004272847902029753,0.0023140590637922287,0.0016515277093276381,0.001219441881403327,0.0007681524148210883,0.004282449837774038,244.2185009505886,40.68542304868697,0.01368271466344595,0.007671921979635954,0.006548499222844839,0.007556699216365814,0.01263610739260912,0.013989975675940514,0.013941965997219086,0.9239721298217773,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.4427935064466867,186300.0,2.790322368331529,7.508281008474126,10.964022237593205,10.1774849205336,20.776592616486873,13.935471632596544,-21.20433041032144,44.19214072515342,2.6059972365516435,0.6768073361177066,0.4895997059134029,0.9707256097929923,0.23971926738101232,0.005665123960593782,0.021085783419430414,0.00434966297313387,0.03667927716859025,0.049497820367560924,0.0755189829662205,0.019136596700785435,0.03471088663990936,0.7049142549881896,0.04844161081558581,460,405,104146,crowntail
dataset\crowntail\ct3 .png,235.73313017966245,56.1318434424747,0.03068477474153042,0.017777206376194954,0.012801705859601498,0.011054988019168377,0.012453874573111534,0.014934062957763672,0.02079426497220993,0.8794991374015808,237.41401760329077,52.561263106341265,0.019667593762278557,0.021648719906806946,0.014518178068101406,0.011538926512002945,0.012189220637083054,0.014571108855307102,0.0201515331864357,0.8857147097587585,238.45258151352004,49.87808579539619,0.012514366768300533,0.02235194481909275,0.017285706475377083,0.012370697222650051,0.011954812332987785,0.014835762791335583,0.019781017675995827,0.8889057040214539,10.943288367309902,30.32607542520663,0.9201651215553284,0.02212509885430336,0.020219586789608,0.011304519139230251,0.015463371761143208,0.01072227954864502,0.0,0.0,9.828730869275907,36.26338796601271,0.9254204034805298,0.024968242272734642,0.012930252589285374,0.009376322850584984,0.006850765086710453,0.005633355583995581,0.004665477201342583,0.010155162774026394,238.6126746718287,49.66234615453164,0.012136289849877357,0.022026797756552696,0.01771671324968338,0.012363135814666748,0.011969935148954391,0.014850886538624763,0.01957685500383377,0.8893594145774841,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.4483779827959814,186300.0,2.9292991914600295,7.762062922105608,12.87562160182866,11.922662071492368,26.30763716723439,-15.875809599083402,24.321827088021877,42.604343461721236,2.326395314235617,0.7314814080306928,0.5830137041046309,0.969433728546712,0.3399239640509644,0.004937692819551146,0.015985118867582117,0.004332768737523441,0.036741576432157766,0.0790938237251225,0.07432248502812897,0.013678845804851491,0.026835944588954087,0.7031032605408021,0.04096848345532636,460,405,132248,crowntail
dataset\crowntail\ct4.png,246.22400973764096,39.744027883970865,0.015581691637635231,0.008256463333964348,0.005250113550573587,0.005690067540854216,0.005030137021094561,0.005132792517542839,0.0069146049208939075,0.9481441378593445,247.19165847864025,35.65598193466745,0.004604848101735115,0.01242135837674141,0.008241798728704453,0.007479212246835232,0.0061226882971823215,0.004729501903057098,0.0066579654812812805,0.9497426152229309,245.83506870609628,41.00526329638529,0.0156696829944849,0.010030942969024181,0.006943935062736273,0.005000806413590908,0.003908255137503147,0.004582850728183985,0.0062546744011342525,0.9476088285446167,10.937130622241124,31.71447104950695,0.8808972239494324,0.04076904058456421,0.042990803718566895,0.008344454690814018,0.021990349516272545,0.005008139181882143,0.0,0.0,5.713531508014489,28.642357677203456,0.959553599357605,0.008351786993443966,0.0063939932733774185,0.006042030174285173,0.006503981538116932,0.005220783408731222,0.003578289644792676,0.004355541430413723,247.4063338661661,35.14737817308203,0.003900922369211912,0.012524014338850975,0.00859376136213541,0.006672630552202463,0.006218011491000652,0.0050667994655668736,0.007024593185633421,0.9499992728233337,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.46955041383867246,186300.0,2.945816543522229,7.70551109901455,13.216649678497324,11.455419072871202,-24.004324368085665,-15.322248308306902,-23.893581536307085,33.73790044660718,1.5891433028489959,0.7913066596215382,0.6731081891786618,0.9709529514686518,0.4530817919007979,0.0070245934094942,0.01439381718458989,0.0031603337781753657,0.01823607913299799,0.02342019973896083,0.04511724764991421,0.006152018654035109,0.020230535716904485,0.8268342401267067,0.03543093460822127,460,405,136378,crowntail
dataset\crowntail\ct5.png,243.81558153598064,33.655640514720226,0.0008466035360470414,0.004078479018062353,0.008398843929171562,0.015594974160194397,0.017536787316203117,0.024067727848887444,0.03616206347942352,0.8933145403862,238.71364644224954,46.812224607118495,0.012309346348047256,0.011718067340552807,0.014284754171967506,0.015413559041917324,0.018611839041113853,0.025129342451691628,0.03114963322877884,0.8713834285736084,239.6134717462877,40.62611410835618,0.0007726936601102352,0.004810858052223921,0.01578310877084732,0.02567358687520027,0.028629980981349945,0.031431835144758224,0.03129073604941368,0.8616071939468384,26.25347040247262,50.652929605128016,0.7791641354560852,0.013545656576752663,0.048672981560230255,0.07268695533275604,0.06160048395395279,0.02432977221906185,0.0,0.0,13.587099375125982,39.969068235076406,0.8846737742424011,0.031062286347150803,0.02467244490981102,0.020822415128350258,0.016636431217193604,0.009500772692263126,0.005724652204662561,0.006907209753990173,245.19067392326815,29.48605696427916,6.719075372529915e-06,0.0009742659167386591,0.00520056439563632,0.013532217592000961,0.01803399808704853,0.026950212195515633,0.03903782740235329,0.8962641954421997,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.48342204116781806,186300.0,3.0115200072688233,7.779864700593423,13.806484886975019,12.181929167629718,25.278902802962936,16.255182182507586,-25.387947952435265,29.80622058204395,2.1111021285644362,0.7275666217566196,0.6472842060972851,0.9603147540565641,0.4189883331361421,0.009903917220990393,0.020365517704763823,0.007451454679836054,0.0362628502318081,0.06749983202311362,0.06104280051064973,0.014257878115971243,0.02811933078008466,0.7121212121212122,0.04297520661157025,460,405,148830,crowntail
dataset\crowntail\ct6.png,247.51156018711998,24.11524634181499,2.022190165007487e-05,0.0007010259432718158,0.0023187780752778053,0.00506895687431097,0.014323847368359566,0.026692910119891167,0.03577928617596626,0.9150949716567993,242.92324440190356,36.77948663890421,0.00217048404738307,0.006262049078941345,0.010805236175656319,0.013528452254831791,0.019803982228040695,0.028998207300901413,0.030278926715254784,0.8881526589393616,240.15454925381184,42.41709244417253,0.002574922051280737,0.007293365895748138,0.016629144549369812,0.025149304419755936,0.02765682153403759,0.021610472351312637,0.020066866651177406,0.8790190815925598,15.902139477196435,38.95271874073985,0.8509308695793152,0.006915890146046877,0.03258422389626503,0.08263342827558517,0.022587863728404045,0.004347709007561207,0.0,0.0,11.294875770117422,36.32424204175211,0.9020720720291138,0.02260134555399418,0.021731803193688393,0.019224287942051888,0.015166426077485085,0.011971365660429,0.005493616685271263,0.001739083556458354,247.83502972619544,23.048758788150955,0.0,0.00014829394058324397,0.0015975302085280418,0.004920662846416235,0.014054222032427788,0.02644350752234459,0.03576580435037613,0.9170699715614319,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.49670424093267035,186300.0,3.0108531879316094,7.72501988708099,12.539753423035096,11.370413427315436,23.423302994568278,15.24080483934173,23.545761558215382,20.30295265470639,1.7337559393120674,0.7471253644921783,0.6649918001848398,0.9712172118062853,0.4422282395650598,0.0027366973590196423,0.007286625234237028,0.005554282324709816,0.03304258732491203,0.058468258355015706,0.06223627269908462,0.011155749086644108,0.020666783504320746,0.7860253178208879,0.012827426291168422,460,405,148354,crowntail
dataset\crowntail\ct7.png,238.63701909975006,52.377519568921535,0.02251792699098587,0.016211040318012238,0.01754249446094036,0.012598204426467419,0.009491478092968464,0.00900094211101532,0.010129952803254128,0.9025079607963562,237.9603911828141,54.30740050168262,0.025087401270866394,0.023000678047537804,0.014132102020084858,0.009756211191415787,0.008058802224695683,0.008292390033602715,0.009460332803428173,0.9022120833396912,246.9100684414199,25.616888096309957,0.0,2.335884710191749e-05,6.229025893844664e-05,0.0039476449601352215,0.030825890600681305,0.034298572689294815,0.017698219045996666,0.913144052028656,24.003044436312106,53.924358069036046,0.8271445631980896,0.010620488785207272,0.04469325765967369,0.007108875550329685,0.03487475588917732,0.07555808126926422,0.0,0.0,14.892751749966909,48.65261415719341,0.9072030782699585,0.013555916957557201,0.010005372576415539,0.009320179931819439,0.012349043041467667,0.015627067536115646,0.014015307649970055,0.017924021929502487,247.1260599076547,25.659854734524245,0.0,2.335884710191749e-05,6.229025893844664e-05,0.0039476449601352215,0.030825890600681305,0.034298572689294815,0.01767485961318016,0.9131673574447632,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.46757399937292626,186300.0,2.908447229483289,7.639003535717381,12.548885981359582,11.63497781764173,-23.87574278733227,15.480385091538455,-23.879119771852526,35.92154503171772,1.711410363176176,0.77213812448385,0.5918960987991638,0.9675030120693715,0.3503555752668306,0.012084309862883572,0.01976158404123615,0.005715131082059627,0.03010955298954302,0.05374870553059619,0.06397988024698087,0.01079178702961123,0.027610156426407954,0.7258450062679571,0.05035388652272427,460,405,128431,crowntail
dataset\crowntail\ct8.png,251.19183533037145,18.342820476101657,0.00013463178765960038,0.0004637317033484578,0.001308920094743371,0.003837005700916052,0.008092866279184818,0.012131819501519203,0.01026193331927061,0.9637690782546997,249.612776556119,26.17989385767615,0.0006282816757448018,0.0022812606766819954,0.006350132171064615,0.011391344480216503,0.007920836098492146,0.005961196031421423,0.006447366438806057,0.9590196013450623,249.1753354575237,27.613450592760643,0.0007105566328391433,0.0029618991538882256,0.008975451812148094,0.010486319661140442,0.006798904854804277,0.005512423347681761,0.006783945951610804,0.9577705264091492,12.165395144280392,34.435076432348204,0.888360321521759,0.018818531185388565,0.01755448803305626,0.05559544637799263,0.01732262223958969,0.002348576672375202,0.0,0.0,3.843535430597316,17.761124345493194,0.964442253112793,0.010015108622610569,0.010336728766560555,0.010875255800783634,0.0034181512892246246,0.0006731589091941714,0.00016454995784442872,7.479543273802847e-05,251.51480949602836,18.141935089783306,0.0001121931491070427,0.0004712112422566861,0.0012864815071225166,0.003657496767118573,0.008040509186685085,0.012273930944502354,0.009970230981707573,0.9641879200935364,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.41075668515730795,186300.0,2.9388184277186045,7.948807298431238,12.487640661476037,11.383234897971706,-23.916096189492674,16.30818534500694,23.332999686611483,40.60080446781581,2.4645496300885843,0.7185941480966941,0.647302737651639,0.9273656361971824,0.419007167620717,0.00948406109291089,0.012520755733070054,0.0036051399422579247,0.015594848090472558,0.02198237819563494,0.03721072865712277,0.007905877425241964,0.016522311478107378,0.8508953013508056,0.024278598034375983,460,405,133698,crowntail
dataset\crowntail\ct9.png,249.0199000778614,23.925274051253762,0.0009667791309766471,0.002264469163492322,0.0030365949496626854,0.0048663378693163395,0.008662081323564053,0.015208927914500237,0.024656111374497414,0.940338671207428,246.70977809499092,31.352584507664098,0.001219828729517758,0.0041136774234473705,0.007974306121468544,0.011484557762742043,0.014099403284490108,0.01723981276154518,0.01674020290374756,0.9271281957626343,243.7719244744355,39.67476294738544,0.001959512010216713,0.009382299147546291,0.017583701759576797,0.021269140765070915,0.010984946973621845,0.00761744100600481,0.00892161950469017,0.9222813248634338,14.625668310407475,36.419041015775264,0.8618414402008057,0.01631845347583294,0.03991694748401642,0.06188683956861496,0.015591747127473354,0.00444458844140172,0.0,0.0,9.330716324941603,32.91324030172086,0.927562952041626,0.01106929685920477,0.009207111783325672,0.020737087354063988,0.01899818331003189,0.009051388129591942,0.0027316377963870764,0.0006423565791919827,249.88605631975085,21.244781963430533,0.00010381521133240312,0.0008110562921501696,0.0025564495008438826,0.004600311629474163,0.008850246667861938,0.015429535880684853,0.025279004126787186,0.9423695802688599,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.4547187118624779,186300.0,3.0347539120275977,7.945808944404079,13.336707380963496,12.123544195182058,24.91892809081756,16.371980364636364,25.146542418251897,34.5214087763569,2.07919517374838,0.775810188525346,0.7197302305300567,0.9403689578806812,0.5180194772001374,0.00979756034259019,0.015715027251492344,0.004905268621853101,0.016863483000259537,0.03462237217752401,0.03813262392940566,0.009823514144822217,0.02062678432390345,0.8201531274331689,0.029360238774980535,460,405,154120,crowntail
dataset\doubletail\dt1.png,253.05017072364797,14.90620712810422,7.867449312470853e-06,0.0002517583779990673,0.0021006090100854635,0.004185482859611511,0.0027850770857185125,0.002887353766709566,0.005035167559981346,0.9827466607093811,252.729147325854,14.86654777935765,7.867449312470853e-06,3.933724656235427e-05,0.0007395402062684298,0.004036001395434141,0.0048778182826936245,0.0059949965216219425,0.009267855435609818,0.9750365614891052,253.20681163753088,11.941710290251745,0.0,0.0,8.654194243717939e-05,0.0012194545706734061,0.00392585713416338,0.008190014399588108,0.008182147517800331,0.9783959984779358,2.2834484603401886,16.237114495513822,0.9810788035392761,0.0009362264536321163,0.0016521643847227097,0.011942788027226925,0.0018724529072642326,0.002517583779990673,0.0,0.0,1.9728415653076958,13.919987625345641,0.9796390533447266,0.005578021518886089,0.007379667367786169,0.0036740987561643124,0.002501848852261901,0.0010857080342248082,0.00014161408762447536,0.0,253.97910405488332,7.934962183366771,0.0,0.0,1.5734898624941707e-05,0.0004956492921337485,0.0010778405703604221,0.00350888236425817,0.007450474426150322,0.987451434135437,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.5213930052372406,186300.0,2.902188206110606,7.410878146562168,11.337535859562228,10.685302158789025,21.69714518319268,14.395959760918528,-23.051619571863252,20.644916935021605,1.6415101730619848,0.7607213807036733,0.6561633965463475,0.9640481868321039,0.4305520203347057,0.000983431151951914,0.0016993690305729078,0.0014004059603795257,0.009425204160307146,0.011250452378329898,0.02526237943134077,0.002187150881941057,0.007182981133856781,0.9376189951693862,0.002989630701933819,460,405,127106,doubletail
dataset\doubletail\dt10.png,246.91092924285647,24.934861926237875,0.0,4.6766122977714986e-05,0.0008043773123063147,0.007230042479932308,0.02330823615193367,0.023991020396351814,0.030959174036979675,0.9136604070663452,245.81938923443857,26.909888132042195,9.353224413644057e-06,0.00016835804854054004,0.0012346255825832486,0.0044614882208406925,0.03148295357823372,0.03494364768266678,0.025889726355671883,0.9018098711967468,245.55143805827058,27.29824330451497,0.0010569143341854215,0.0017022868851199746,0.0027217883616685867,0.005565168801695108,0.011841182596981525,0.04049010947346687,0.04165926203131676,0.894963264465332,27.95098910349343,48.98395164640432,0.7536828517913818,0.019230229780077934,0.09645980596542358,0.05836411938071251,0.056661833077669144,0.015601178631186485,0.0,0.0,7.656231585839218,20.823032050068527,0.9102184176445007,0.052761539816856384,0.026899874210357666,0.006753027904778719,0.0018051723018288612,0.0007295515388250351,0.0004583080008160323,0.0003741289838217199,249.07145863536454,19.28771130729273,0.0,4.6766122977714986e-05,0.0006734321941621602,0.0023008931893855333,0.005471636541187763,0.025983257219195366,0.04570920765399933,0.9198148250579834,185436.0,1726.0,1.1358024691358024,0.9953623188405797,1.0,485.9058017944524,0.43926693057559324,186300.0,2.8087115563656786,7.560446800820955,11.391182466300316,10.415916530696855,22.645722729132988,-15.781304372432052,21.31994989473308,10.656304780995843,1.3715821978617146,0.6868367907106255,0.46023532014605745,0.9847809507387703,0.21182866942080816,0.004208951035869616,0.015825655894869756,0.008127952111490436,0.03612215311228546,0.06313426553804424,0.10322218584857129,0.022363559837253893,0.023420474208483373,0.7003413926951316,0.02323340971800028,460,405,106915,doubletail
